OBG0044,OBG0044_AHJC3YBBXX_L006_R1_001.fastq.gz,OBG0044_AHJC3YBBXX_L006_R2_001.fastq.gz
OBG0068,OBG0068_AHJC3YBBXX_L007_R1_001.fastq.gz,OBG0068_AHJC3YBBXX_L007_R2_001.fastq.gz
OBG0111,OBG0111_AHJC3YBBXX_L007_R1_001.fastq.gz,OBG0111_AHJC3YBBXX_L007_R2_001.fastq.gz
OBG0115,OBG0115_AHJC3YBBXX_L007_R1_001.fastq.gz,OBG0115_AHJC3YBBXX_L007_R2_001.fastq.gz
OBG0120,OBG0120_AHJC3YBBXX_L007_R1_001.fastq.gz,OBG0120_AHJC3YBBXX_L007_R2_001.fastq.gz
OBG0133,OBG0133_AHJC3YBBXX_L007_R1_001.fastq.gz,OBG0133_AHJC3YBBXX_L007_R2_001.fastq.gz
OBG0156,OBG0156_AHJC3YBBXX_L006_R1_001.fastq.gz,OBG0156_AHJC3YBBXX_L006_R2_001.fastq.gz
OBG0170,OBG0170_AHJC3YBBXX_L007_R1_001.fastq.gz,OBG0170_AHJC3YBBXX_L007_R2_001.fastq.gz
OBG0174,OBG0174_AHJC3YBBXX_L007_R1_001.fastq.gz,OBG0174_AHJC3YBBXX_L007_R2_001.fastq.gz
OBG0175,OBG0175_AHJC3YBBXX_L006_R1_001.fastq.gz,OBG0175_AHJC3YBBXX_L006_R2_001.fastq.gz
OBG0178,OBG0178_AHJC3YBBXX_L006_R1_001.fastq.gz,OBG0178_AHJC3YBBXX_L006_R2_001.fastq.gz
OBG0166,OBG0166-006-017_S45_L005_R1_001.fastq.gz,OBG0166-006-017_S45_L005_R2_001.fastq.gz
OBG-0022-PLAC,OBG-0022-PLAC_177_016_S44_L003_R1_001.fastq.gz,OBG-0022-PLAC_177_016_S44_L003_R2_001.fastq.gz
OBG-0022-DEC,OBG-0022-DEC_125_068_S80_L004_R1_001.fastq.gz,OBG-0022-DEC_125_068_S80_L004_R2_001.fastq.gz
OBG-0024-PLAC,OBG-0024-PLAC_153_040_S46_L003_R1_001.fastq.gz,OBG-0024-PLAC_153_040_S46_L003_R2_001.fastq.gz
OBG-0024-DEC,OBG-0024-DEC_101_092_S82_L004_R1_001.fastq.gz,OBG-0024-DEC_101_092_S82_L004_R2_001.fastq.gz
OBG-0026-PLAC,OBG-0026-PLAC_129_064_S48_L003_R1_001.fastq.gz,OBG-0026-PLAC_129_064_S48_L003_R2_001.fastq.gz
OBG-0026-DEC,OBG-0026-DEC_172_021_S84_L004_R1_001.fastq.gz,OBG-0026-DEC_172_021_S84_L004_R2_001.fastq.gz
OBG-0028-PLAC,OBG-0028-PLAC_105_088_S50_L003_R1_001.fastq.gz,OBG-0028-PLAC_105_088_S50_L003_R2_001.fastq.gz
OBG-0028-DEC,OBG-0028-DEC_148_045_S86_L004_R1_001.fastq.gz,OBG-0028-DEC_148_045_S86_L004_R2_001.fastq.gz
OBG-0030-PLAC,OBG-0030-PLAC_131_062_S32_L003_R1_001.fastq.gz,OBG-0030-PLAC_131_062_S32_L003_R2_001.fastq.gz
OBG-0030-DEC,OBG-0030-DEC_174_019_S68_L004_R1_001.fastq.gz,OBG-0030-DEC_174_019_S68_L004_R2_001.fastq.gz
OBG-0039-PLAC,OBG-0039-PLAC_180_013_S20_L003_R1_001.fastq.gz,OBG-0039-PLAC_180_013_S20_L003_R2_001.fastq.gz
OBG-0039-DEC,OBG-0039-DEC_128_065_S56_L004_R1_001.fastq.gz,OBG-0039-DEC_128_065_S56_L004_R2_001.fastq.gz
OBG-0050-PLAC,OBG-0050-PLAC_155_038_S30_L003_R1_001.fastq.gz,OBG-0050-PLAC_155_038_S30_L003_R2_001.fastq.gz
